order_id,region,category,sales,discount,quantity,order_date,delivery_date,customer_type,payment_mode,profit,city,New_Column
ORD100000,East,Clothing,713.49,0.31,3,3/30/2023,04-01-2023,Member,UPI,114.72,Pune,221.1819
ORD100001,West,Electronics,3802.97,0.38,4,8/28/2023,09-03-2023,Regular,Card,971.41,Hyderabad,1445.1286
ORD100002,North,Home Care,3588.97,0.1,7,03-09-2024,3/15/2024,Regular,Cash,769.08,Bangalore,358.897
ORD100003,East,Electronics,1160.86,0.27,5,10/13/2024,10/19/2024,Member,UPI,71.61,Pune,313.4322
ORD100004,East,Electronics,3071.32,0,7,04-06-2023,04-09-2023,New,Cash,621.92,Bangalore,0
ORD100005,West,Grocery,2566.18,0.02,6,07-01-2023,07-04-2023,Member,UPI,578.94,Mumbai,51.3236
ORD100006,North,Personal Care,398,0.16,4,07-12-2023,7/17/2023,New,Cash,110.31,Mumbai,63.68
ORD100007,North,Personal Care,1462.95,0.23,2,5/18/2023,5/20/2023,Regular,UPI,91.68,Bangalore,336.4785
ORD100008,East,Personal Care,4997.47,0.29,6,01-05-2024,01-08-2024,Regular,Card,995.78,Delhi,1449.2663
ORD100009,South,Grocery,587.72,0.44,6,08-10-2024,8/17/2024,New,Cash,102.96,Pune,258.5968
ORD100010,East,Clothing,2581.42,0.39,6,05-07-2024,05-08-2024,Regular,Cash,542.82,Bangalore,1006.7538
ORD100011,East,Clothing,4261.74,0.15,1,09-02-2023,09-03-2023,New,UPI,1028.47,Pune,639.261
ORD100012,East,Home Care,1573.19,0.37,6,02-09-2024,2/16/2024,New,Cash,131.5,Bangalore,582.0803
ORD100013,East,Clothing,1377.47,0.27,2,5/28/2023,5/29/2023,Member,Cash,255.49,Delhi,371.9169
ORD100014,West,Clothing,4464.89,0.39,5,01-05-2024,01-12-2024,Regular,UPI,804.36,Pune,1741.3071
ORD100015,North,Personal Care,1593.67,0.21,7,10/18/2024,10/22/2024,Member,Card,284.91,Chennai,334.6707
ORD100016,West,Electronics,3292.32,0.05,1,4/26/2023,4/27/2023,Member,Card,504.83,Mumbai,164.616
ORD100017,West,Clothing,3727.53,0.31,5,10/29/2023,11-05-2023,Regular,Card,978.07,Chennai,1155.5343
ORD100018,West,Clothing,3964.23,0.28,9,06-05-2024,06-08-2024,Member,UPI,260.95,Bangalore,1109.9844
ORD100019,East,Grocery,4974.32,0.48,3,05-01-2023,05-05-2023,Regular,Card,727.29,Delhi,2387.6736
ORD100020,South,Home Care,4035.64,0.08,2,10/21/2024,10/28/2024,Regular,Cash,798.81,Delhi,322.8512
ORD100021,North,Grocery,3319.36,0.33,2,8/15/2023,8/21/2023,Member,Cash,920.22,Bangalore,1095.3888
ORD100022,South,Personal Care,4487.77,0.24,3,12/31/2024,01-02-2025,Regular,Card,931.37,Pune,1077.0648
ORD100023,West,Electronics,4538.15,0.19,1,3/20/2023,3/23/2023,Regular,Cash,375.7,Delhi,862.2485
ORD100024,West,Home Care,4868.52,0.4,2,12-12-2023,12/13/2023,Regular,Cash,1072.26,Mumbai,1947.408
ORD100025,South,Grocery,3904.68,0.41,6,5/20/2023,5/26/2023,Regular,Card,526.66,Hyderabad,1600.9188
ORD100026,South,Clothing,1055.14,0.36,8,6/19/2024,6/25/2024,Member,UPI,207.61,Chennai,379.8504
ORD100027,South,Clothing,3578.05,0.04,4,10/16/2023,10/18/2023,New,Card,689.74,Mumbai,143.122
